age,employment-type,education-num,occupation,race,sex,weekly-hours,compensation
49,0,9,9,4,1,40,1
33,1,14,8,4,1,50,0
30,1,5,10,4,1,40,0
43,0,16,8,4,0,50,1
57,1,11,8,4,1,40,0
37,1,10,1,4,0,40,0
28,1,10,5,2,0,25,0
30,1,9,10,1,0,35,0
34,0,13,9,4,1,40,1
29,0,10,4,4,1,50,0
48,2,16,8,4,1,60,1
37,1,10,10,4,1,48,1
48,1,12,2,4,0,40,0
32,0,9,6,2,1,40,0
76,1,14,2,4,1,40,1
44,1,13,2,4,1,60,1
47,2,14,8,4,0,50,0
20,1,10,11,4,0,40,0
29,1,9,1,4,1,40,0
32,2,9,1,4,1,40,1
30,1,7,4,4,1,40,0
31,0,9,0,4,0,40,0
42,1,9,4,4,1,40,0
24,1,13,10,4,1,40,0
38,1,15,8,4,1,40,1
56,2,9,6,4,1,50,1
28,1,10,10,4,0,25,0
36,1,9,5,4,0,40,0
53,1,5,4,4,1,50,0
56,2,10,10,4,1,50,0
49,0,11,1,2,1,40,1
55,1,10,10,4,1,56,0
22,1,9,1,4,1,41,0
21,1,10,6,4,0,40,0
40,1,13,2,4,1,60,0
30,1,13,2,2,1,40,0
29,0,13,8,4,1,50,1
19,1,10,6,2,1,35,0
47,1,13,2,4,0,40,1
20,1,10,0,4,0,28,0
31,1,12,0,4,1,40,1
39,1,10,1,4,1,40,0
28,1,12,10,4,0,60,0
24,1,9,6,4,0,40,0
38,2,9,1,4,1,35,0
37,1,13,10,4,1,50,0
46,1,12,11,2,0,36,0
38,0,14,8,4,1,40,1
43,2,9,1,4,1,60,0
27,1,11,0,4,0,35,0
20,1,10,10,4,1,20,0
49,1,10,1,1,1,40,1
61,2,9,1,4,1,40,0
27,1,10,10,4,0,40,0
19,1,10,6,4,1,30,0
45,1,11,8,4,0,40,1
70,1,10,11,4,1,40,0
31,1,9,12,2,0,30,0
22,1,10,6,4,1,24,0
36,1,9,6,4,0,24,0
64,1,7,1,4,1,40,0
47,0,10,0,4,0,38,0
34,1,9,0,4,0,40,0
33,1,13,2,1,0,40,0
21,1,9,1,4,1,35,0
48,1,9,1,4,1,46,0
23,1,13,4,4,1,40,0
71,2,10,10,2,1,2,0
29,1,9,1,4,1,60,0
42,1,13,6,2,1,50,0
25,1,9,6,4,0,40,0
44,2,14,2,1,0,40,0
28,1,9,2,1,0,40,0
45,2,14,10,4,1,40,1
36,1,10,6,4,0,40,0
39,0,12,2,4,1,42,0
46,0,14,9,4,1,40,0
18,1,7,4,4,1,16,0
66,0,11,8,4,0,20,0
27,1,9,6,4,1,40,0
28,0,9,9,4,1,40,0
51,1,10,10,4,1,40,1
27,1,13,1,4,1,50,0
28,0,13,8,4,1,40,1
27,1,9,10,4,0,25,0
21,1,9,1,2,1,40,0
34,1,9,4,2,1,40,0
18,1,9,6,4,1,12,0
33,1,13,8,4,1,65,0
44,0,10,2,2,1,38,1
43,1,10,0,4,0,40,0
30,1,10,1,2,1,45,0
40,1,4,5,4,1,40,1
37,0,10,0,4,1,42,1
34,1,9,0,2,1,40,0
41,2,13,2,4,0,40,0
31,1,14,8,4,0,50,0
58,0,16,8,4,1,1,1
38,1,10,5,2,0,28,0
24,1,10,5,4,1,40,0
41,0,13,1,2,1,40,0
47,1,10,11,4,1,45,0
41,0,13,11,4,1,24,0
23,1,3,12,4,1,40,0
36,1,10,1,4,1,40,0
40,0,14,2,4,0,55,1
35,1,14,8,4,1,40,1
24,2,9,10,4,1,40,0
26,1,14,8,4,0,40,0
51,1,13,2,4,1,50,1
42,0,10,8,4,0,40,0
37,0,9,0,4,0,35,0
18,1,7,10,4,0,40,0
36,1,13,6,2,1,36,1
35,1,9,1,4,1,60,0
58,2,9,10,4,0,35,1
17,1,7,10,4,0,12,0
44,0,9,12,2,1,40,0
37,1,9,1,4,1,40,1
35,1,10,10,0,0,40,0
60,1,9,1,1,1,40,0
54,2,4,5,4,1,40,1
37,1,13,2,2,1,60,1
50,1,12,10,4,0,40,0
38,1,13,10,4,1,50,0
45,1,13,8,4,1,55,0
25,1,6,1,4,1,40,0
31,1,10,4,4,1,40,0
90,1,9,6,2,1,40,0
54,1,9,0,2,1,20,0
53,0,1,5,4,0,35,0
18,1,9,10,4,0,40,0
66,2,9,3,4,1,50,0
75,1,11,0,4,0,20,0
65,1,9,0,4,0,40,0
35,1,7,12,2,1,40,0
41,1,9,10,2,0,38,0
25,1,10,0,4,1,42,0
33,1,10,1,3,0,40,0
28,1,15,8,4,1,55,1
59,0,9,6,4,1,40,0
40,0,10,0,4,0,38,0
41,1,13,2,4,1,50,1
38,0,14,2,4,1,70,1
23,1,9,12,4,1,40,0
40,1,13,8,4,1,40,1
41,2,9,6,4,0,20,0
24,0,12,9,4,1,50,0
38,1,10,1,4,1,40,0
56,1,9,0,4,1,35,0
58,1,9,0,4,1,45,1
32,1,9,6,4,0,34,0
40,1,12,11,4,1,60,1
45,1,9,0,4,1,40,0
41,1,15,8,4,0,40,1
42,1,13,0,2,0,40,0
59,0,6,6,2,0,30,0
19,0,10,0,4,1,40,0
58,1,10,12,4,1,20,0
42,2,9,3,1,1,40,1
20,1,9,6,4,0,40,0
32,1,9,6,4,0,30,0
45,1,11,2,4,0,45,0
50,1,4,1,4,1,40,0
36,1,13,8,4,0,40,0
45,1,9,10,4,1,60,0
17,1,7,6,4,1,12,0
59,1,10,10,4,1,40,0
26,1,7,1,4,1,40,0
37,2,10,2,1,1,75,1
64,1,9,2,4,1,40,1
33,1,13,8,4,0,45,0
33,1,9,1,4,0,40,1
61,1,9,2,4,1,40,1
17,1,5,6,4,1,24,0
50,2,14,3,4,1,98,0
27,0,14,8,4,1,35,0
30,1,9,8,4,0,40,0
43,1,9,4,2,1,40,0
44,1,10,1,4,1,40,1
35,1,10,2,4,0,40,0
25,1,10,11,4,0,40,0
24,1,10,5,4,0,48,1
22,1,13,8,4,0,15,0
42,0,10,1,4,1,40,1
34,1,12,10,2,0,45,0
60,1,13,8,4,0,42,0
21,1,9,4,4,1,40,0
57,0,14,10,4,1,40,1
41,1,15,8,4,1,60,1
50,1,10,6,4,1,45,0
25,1,13,2,4,0,40,0
50,1,4,1,4,1,40,0
36,1,13,8,4,1,45,0
31,1,9,8,4,0,40,0
29,0,13,9,4,1,56,0
21,1,10,10,4,1,45,0
27,1,13,11,2,0,40,0
65,1,9,12,4,1,16,0
37,2,13,10,4,0,60,0
24,1,9,1,4,1,40,0
38,1,9,10,4,1,80,0
48,1,13,0,4,1,40,1
21,1,10,6,1,0,25,0
31,1,9,12,4,1,45,1
55,1,9,10,4,1,40,1
24,1,10,0,1,0,40,0
43,1,9,0,4,0,40,0
26,1,12,11,4,1,45,0
46,1,12,8,4,0,33,0
35,1,12,0,4,1,40,1
41,2,10,3,4,1,54,1
26,1,13,10,4,1,40,0
34,1,14,2,1,1,35,1
36,2,13,8,2,0,40,1
22,1,10,10,4,1,15,0
24,1,10,5,4,1,40,0
77,2,10,10,4,1,40,0
22,1,3,5,4,0,40,0
29,1,10,11,4,0,40,0
62,1,9,6,4,0,24,0
39,2,9,2,4,1,40,0
43,1,10,1,4,1,50,0
35,1,9,12,4,1,45,0
29,1,7,2,4,0,40,0
76,2,14,1,4,1,10,0
63,2,9,3,4,1,45,0
43,1,10,8,4,0,50,1
58,2,9,4,4,1,40,0
66,1,9,12,4,1,55,0
41,1,10,1,2,1,45,0
26,1,13,0,4,1,40,0
47,1,11,6,4,1,40,0
55,0,6,0,4,1,40,0
53,1,9,12,4,1,40,0
17,1,3,6,4,1,48,0
30,1,9,1,4,1,40,0
49,1,14,8,4,1,60,0
19,1,9,10,2,1,30,0
45,1,9,6,2,1,40,0
26,1,12,10,4,1,40,0
38,1,11,1,4,1,40,1
36,0,9,9,4,1,40,1
33,1,9,3,4,1,20,0
22,0,10,9,2,0,40,0
43,2,13,10,4,1,42,0
56,1,12,6,4,1,25,0
31,1,13,8,4,1,25,0
33,1,13,2,4,1,40,1
26,1,9,6,4,1,40,0
33,1,13,2,4,1,40,1
46,0,7,12,4,1,30,0
38,0,9,0,4,1,40,1
65,1,7,6,3,1,40,0
40,1,11,11,4,1,40,1
42,1,9,0,4,0,35,0
26,2,5,1,4,1,40,0
36,1,6,6,4,0,24,0
62,1,14,8,4,1,40,1
43,1,13,12,4,1,45,0
43,1,13,2,4,1,45,1
22,1,9,10,4,1,55,0
28,1,9,1,4,1,40,0
56,2,10,10,4,1,45,0
22,1,12,10,4,0,15,0
57,1,13,2,4,0,45,1
39,1,9,10,4,0,40,0
26,0,10,0,4,0,15,0
17,1,7,6,4,1,10,0
40,0,11,5,4,1,38,1
45,1,9,5,2,1,40,0
44,1,9,1,2,1,40,0
20,0,10,0,4,0,10,0
33,1,9,1,4,0,40,0
23,1,10,10,4,1,40,0
46,2,14,2,4,1,30,0
38,1,9,10,4,1,50,0
54,1,9,12,4,1,40,0
46,1,3,1,4,0,45,0
25,1,10,1,4,1,40,0
46,1,10,10,4,0,40,0
36,0,10,12,4,0,40,0
23,1,9,6,4,0,25,0
29,1,9,5,4,1,40,0
44,1,10,0,4,0,6,1
19,1,10,0,4,0,16,0
19,1,9,6,4,0,40,0
35,1,9,6,4,0,40,1
27,1,13,1,4,1,50,0
46,2,12,1,4,1,40,0
34,0,13,2,4,1,45,1
34,1,9,6,4,0,35,0
44,1,10,11,4,1,40,0
45,1,10,4,4,0,40,0
25,1,13,2,4,1,55,1
52,2,13,2,4,1,50,1
20,1,10,4,4,1,40,0
28,1,10,6,4,0,40,0
50,0,13,9,4,1,40,1
34,1,11,11,4,0,64,0
28,1,4,4,3,1,40,0
41,1,14,2,4,1,65,1
28,1,9,0,4,1,40,0
46,2,9,1,4,1,25,0
32,1,10,2,4,1,50,0
41,0,10,6,2,0,24,0
24,1,9,4,2,0,40,0
33,1,10,2,4,0,40,0
46,1,16,2,4,1,60,1
31,0,10,5,4,1,40,0
35,1,8,1,4,1,50,1
52,1,2,5,4,1,40,0
30,1,7,6,4,0,19,0
34,0,7,5,2,1,40,0
34,0,9,12,4,0,40,0
20,1,10,10,4,1,30,0
17,1,7,4,4,1,18,0
32,0,13,2,4,0,40,1
29,1,9,3,4,1,40,0
33,1,6,1,4,0,35,0
25,1,9,12,4,1,60,0
36,0,14,8,4,1,40,0
23,1,9,4,4,1,72,0
63,2,9,2,4,1,40,1
47,0,14,8,4,1,40,0
40,2,13,8,4,0,40,0
30,1,12,6,4,0,25,1
27,1,10,1,1,1,40,0
33,1,14,8,4,1,50,1
34,0,9,3,2,1,60,0
34,0,10,9,4,0,40,0
23,1,10,0,4,1,40,0
42,0,10,0,4,0,40,0
29,1,13,8,4,1,40,0
45,1,9,0,4,0,28,0
24,0,9,9,4,1,40,0
44,1,10,8,4,1,40,1
27,1,5,1,4,1,40,0
20,1,10,10,4,1,35,0
44,1,9,2,2,0,40,0
51,1,9,1,0,1,40,0
20,1,9,5,4,1,40,0
19,1,9,5,2,0,40,0
45,2,10,1,4,1,55,1
60,1,9,1,4,1,40,1
42,1,12,2,2,1,40,1
44,2,9,10,4,0,40,1
40,1,11,5,1,1,40,1
30,1,9,2,4,0,40,0
38,1,10,12,2,1,50,0
23,1,9,12,4,1,60,0
44,1,12,3,4,1,40,0
54,0,9,12,2,1,40,0
32,1,13,8,4,1,50,0
50,1,2,1,4,1,40,0
24,1,13,11,4,0,20,0
37,1,9,0,4,0,60,0
52,1,9,12,4,1,40,0
38,1,10,12,4,1,40,0
49,1,14,2,4,1,45,1
30,1,13,11,4,0,16,1
60,1,10,8,4,1,40,1
35,1,9,1,4,1,40,0
30,1,9,12,4,1,60,0
67,1,11,6,4,0,24,0
46,1,13,1,4,0,40,0
17,1,5,6,4,1,6,0
22,1,10,4,4,1,30,0
27,1,6,6,4,1,40,0
23,1,9,6,4,0,35,0
33,1,12,1,4,1,45,0
43,2,10,1,4,1,20,0
28,0,13,8,4,1,20,0
41,1,9,1,4,0,40,0
25,1,10,0,2,0,20,0
59,0,9,12,4,1,45,0
45,0,13,8,4,0,40,0
38,1,13,10,4,1,60,1
40,1,9,6,4,0,35,0
46,0,9,0,4,1,40,0
35,1,12,2,4,0,60,0
34,1,9,8,4,0,25,0
33,1,13,1,4,1,20,0
41,1,9,0,4,0,36,0
20,1,10,5,4,1,40,0
23,1,3,6,4,1,40,0
26,1,10,8,4,0,35,0
23,0,9,3,4,1,40,0
62,0,9,12,4,1,40,0
52,1,10,0,4,1,40,0
58,1,10,6,4,0,42,0
25,1,13,10,4,0,40,0
24,1,13,2,2,1,40,0
19,1,10,9,4,1,8,0
43,1,10,2,4,1,40,0
47,0,9,0,2,0,40,0
39,1,9,6,4,0,40,0
49,1,11,4,4,1,42,0
32,1,11,1,4,1,45,0
34,1,10,8,4,1,50,1
28,1,9,1,4,1,45,0
25,1,10,0,0,0,20,0
34,1,13,8,4,1,50,1
38,2,13,2,4,1,80,1
50,1,9,2,4,1,50,1
24,0,10,4,2,1,50,0
37,0,10,11,4,1,45,1
44,1,10,5,4,1,58,1
28,1,10,10,4,0,40,0
42,1,13,2,4,1,40,1
74,1,10,0,4,0,9,0
38,2,9,1,4,1,50,0
44,2,14,8,4,1,40,0
44,1,7,5,3,0,46,0
26,1,9,5,4,1,40,0
36,1,9,6,2,1,40,0
41,1,12,2,4,0,50,1
67,1,15,8,4,1,48,1
39,0,8,11,4,1,50,0
57,1,2,7,2,0,30,0
29,1,11,1,4,1,40,0
31,2,13,3,4,0,45,0
44,1,10,12,4,1,40,0
29,1,16,8,4,1,40,0
30,1,10,4,4,0,40,0
27,1,9,12,4,1,40,0
27,1,10,10,4,1,50,0
32,1,9,4,4,0,45,0
58,1,6,6,4,0,8,0
35,0,10,9,4,1,40,0
21,1,9,4,4,1,36,0
28,1,10,1,4,1,40,0
46,2,10,2,4,1,50,0
36,2,9,6,4,0,40,0
72,1,7,0,4,0,40,0
35,1,9,5,2,0,40,0
33,0,11,1,2,0,40,1
69,1,7,5,4,0,40,0
35,1,9,5,4,1,40,0
31,1,9,0,4,0,20,0
34,1,9,11,4,0,32,0
30,1,7,6,4,1,40,0
28,1,13,12,4,1,55,0
54,1,13,10,4,1,35,1
47,1,10,8,4,1,50,1
24,1,9,4,2,0,40,0
52,2,13,8,4,1,60,1
20,1,9,4,0,1,48,0
43,2,14,2,4,1,45,0
45,1,4,6,4,0,40,0
29,2,9,1,4,1,35,0
47,1,14,2,4,1,42,0
24,1,9,1,4,1,40,0
51,1,9,8,4,1,40,0
17,1,7,10,4,1,12,0
37,1,11,1,4,1,40,1
27,1,16,8,4,0,70,0
29,1,13,2,4,1,40,1
36,2,12,10,4,0,35,0
58,0,13,8,4,0,40,0
26,2,10,1,4,1,45,0
57,1,9,10,4,1,40,1
59,1,9,1,4,1,40,0
27,1,9,5,4,1,40,0
31,2,13,11,4,1,40,0
21,1,10,10,4,0,24,0
29,1,10,0,4,1,60,0
18,1,7,6,4,1,40,0
52,1,6,1,4,1,47,1
57,2,13,8,4,1,80,0
60,1,4,12,4,1,48,1
31,1,13,8,4,1,40,1
23,1,13,0,4,0,40,0
27,1,9,10,4,1,40,0
42,2,15,8,4,1,50,1
25,1,10,11,4,1,40,0
49,1,13,8,4,0,45,0
32,1,13,11,4,1,40,0
19,1,10,0,4,1,28,0
60,1,4,6,4,0,40,0
42,0,5,6,4,1,40,0
35,2,12,3,4,1,40,0
48,1,9,0,2,0,37,0
51,1,14,1,4,1,40,1
29,1,9,1,0,1,40,0
36,0,9,2,2,1,40,0
17,1,6,6,4,0,21,0
52,1,14,8,4,0,60,0
24,1,9,1,4,1,40,0
24,1,9,4,4,1,50,0
26,0,13,8,4,1,40,0
27,1,13,6,4,0,20,0
39,1,9,4,4,1,60,0
30,1,9,12,2,1,45,0
50,2,9,2,4,1,32,0
52,2,13,10,4,1,55,0
46,1,15,8,4,1,45,1
23,1,13,10,4,0,20,0
45,1,7,6,2,0,20,0
65,1,5,7,2,0,24,0
29,1,11,12,4,1,55,0
47,1,5,4,4,1,40,0
30,1,9,3,2,1,60,0
34,1,9,10,4,1,45,1
38,2,9,10,4,1,64,0
33,1,10,2,4,1,40,1
49,1,13,10,4,1,26,1
47,2,10,6,2,0,40,0
49,0,6,6,2,0,40,0
43,1,10,1,4,1,60,1
30,1,13,0,2,0,40,1
58,2,9,1,4,1,60,0
19,1,9,6,4,0,14,0
21,1,13,4,4,1,40,0
33,1,13,2,4,1,60,1
47,2,3,12,4,1,50,0
52,2,16,8,4,1,60,1
26,1,9,1,4,1,55,0
60,1,9,1,4,1,40,0
21,1,10,4,4,1,40,0
36,1,10,10,4,1,50,1
31,1,10,1,4,1,45,0
50,2,16,8,4,1,40,1
31,0,9,0,4,0,40,0
71,1,9,1,4,1,15,0
30,0,13,11,4,1,40,1
20,1,10,6,4,1,20,0
24,1,9,2,4,1,50,0
35,1,16,8,1,1,40,1
38,0,10,2,4,0,45,0
27,1,9,5,4,0,32,0
29,0,10,0,1,0,40,0
34,1,9,1,4,1,45,0
44,1,4,1,4,1,35,0
43,1,9,5,4,1,40,1
44,2,8,4,2,1,40,1
35,1,14,10,4,1,60,0
27,1,10,8,4,1,40,0
43,0,14,8,4,1,38,0
20,1,10,10,4,0,25,0
42,1,12,8,4,0,40,1
27,0,10,12,4,1,40,0
42,1,9,1,2,1,40,1
24,1,5,5,4,1,40,0
48,0,10,2,4,1,40,0
17,2,7,3,4,1,10,0
33,1,13,2,4,1,40,1
50,2,9,10,4,1,50,1
22,1,9,10,4,0,40,0
17,1,8,6,4,1,16,0
32,1,10,0,4,1,40,0
31,1,9,1,4,1,45,0
58,2,9,2,4,1,50,0
29,0,9,9,4,1,48,0
37,1,11,1,4,1,40,1
34,2,9,1,4,1,40,1
23,0,10,2,2,1,40,0
18,0,7,0,4,0,5,0
34,1,9,2,4,0,40,0
45,0,13,8,4,0,55,0
41,1,14,2,4,1,35,0
26,1,9,6,4,1,30,0
54,0,10,3,4,1,40,0
24,1,10,5,2,0,45,0
42,1,10,8,4,1,50,0
20,1,10,8,4,1,20,0
23,0,13,11,4,0,20,0
35,1,14,8,4,1,60,1
31,1,14,11,4,1,40,1
30,1,13,8,4,0,40,0
19,1,9,10,4,0,20,0
36,0,13,8,4,1,50,0
31,1,13,10,4,0,40,0
21,1,10,4,4,1,30,0
31,2,10,1,4,1,40,0
46,1,16,8,4,0,65,1
44,1,13,2,4,0,50,1
40,1,8,6,2,1,40,0
45,1,10,10,2,1,40,0
60,1,9,1,4,1,35,0
18,1,7,6,4,1,25,0
28,1,13,8,4,1,40,0
36,1,10,0,2,0,40,0
36,1,13,8,4,1,40,0
40,1,11,11,4,1,40,0
36,0,13,0,4,0,35,0
31,1,9,6,2,0,40,0
33,1,9,5,4,1,40,0
19,0,9,11,4,0,40,0
22,1,10,10,4,0,15,0
34,1,13,2,4,1,45,1
33,1,9,6,4,1,40,0
41,1,9,1,4,1,60,0
29,1,13,8,4,1,40,0
50,0,9,2,4,1,42,1
42,1,13,2,4,1,45,1
43,1,13,8,4,1,40,1
44,1,9,10,4,0,40,0
20,1,10,6,4,0,20,0
31,1,9,6,4,1,40,0
65,2,7,2,4,1,59,1
23,1,10,6,4,0,24,0
55,1,10,0,1,0,40,0
26,1,11,0,4,1,45,0
25,1,11,6,4,0,15,0
35,1,10,1,4,1,40,0
36,1,10,10,2,0,36,0
43,0,13,8,4,1,50,0
56,1,9,6,2,0,20,0
42,1,13,11,4,1,40,1
19,1,10,6,4,0,25,0
55,2,9,12,4,1,72,0
42,1,14,2,4,0,50,1
26,1,11,11,4,1,40,0
17,1,8,4,4,1,20,0
42,0,13,8,4,0,40,1
55,1,9,12,4,1,40,1
32,1,10,0,2,0,40,0
29,1,7,1,2,1,40,0
46,0,13,8,4,1,37,0
29,0,13,2,4,1,40,1
22,1,13,8,4,1,20,0
58,2,6,1,4,1,40,0
23,1,9,12,4,1,50,0
39,1,9,4,4,1,40,0
27,1,11,1,4,1,38,0
54,1,9,12,4,1,40,1
33,0,13,8,4,0,45,0
46,0,9,0,4,0,40,1
37,1,9,3,2,1,40,0
36,1,9,6,4,0,18,0
59,0,9,0,4,0,38,1
34,0,9,9,4,1,40,0
53,2,16,2,4,1,70,1
51,1,13,10,4,1,55,1
32,1,6,6,4,0,42,0
31,0,10,6,4,1,40,0
22,1,10,10,4,0,30,0
47,2,13,10,4,0,50,0
32,1,9,5,4,1,40,0
26,1,10,3,4,0,38,0
37,1,3,3,4,1,32,0
31,1,9,1,4,1,55,0
37,1,11,11,4,0,24,1
55,1,9,10,4,1,38,0
23,0,11,11,4,1,56,0
36,1,10,0,4,0,40,0
34,1,14,8,4,1,40,0
43,1,13,10,4,1,50,1
54,1,10,11,4,1,40,0
43,0,10,1,4,1,40,0
28,1,11,5,4,0,42,0
40,1,11,2,4,1,50,1
41,2,10,2,4,1,60,0
40,1,13,10,3,0,55,1
42,1,10,0,2,0,38,0
61,2,9,3,4,1,50,0
18,1,8,5,4,1,30,0
48,1,11,11,4,1,50,1
41,2,13,11,4,1,40,0
23,1,9,10,4,0,40,0
60,1,9,12,4,1,60,1
22,1,10,6,2,1,20,0
61,1,9,5,4,1,40,0
25,1,9,5,2,1,40,0
46,1,14,11,4,1,35,1
43,1,13,2,4,1,40,1
43,1,12,1,4,1,40,0
24,1,9,6,2,1,30,0
68,2,7,3,4,1,20,0
31,1,9,0,4,0,38,0
17,1,7,10,4,0,20,0
32,1,9,1,4,1,48,1
33,1,13,8,4,1,47,1
64,1,13,8,4,1,40,1
20,1,9,12,4,1,30,0
30,1,9,6,4,0,36,0
43,1,10,2,4,1,45,0
22,1,10,0,4,1,40,0
17,1,6,3,4,1,20,0
47,2,9,6,4,0,75,0
41,1,11,8,4,0,60,0
56,1,10,1,4,1,50,1
64,1,9,12,4,1,45,0
47,1,9,12,4,1,50,1
48,1,11,0,4,1,40,0
31,1,14,8,4,0,46,0
29,1,11,11,4,1,40,0
30,1,9,0,4,0,40,0
32,1,9,2,4,1,60,0
57,1,9,12,4,1,42,1
62,1,9,6,4,0,40,0
39,1,9,5,4,0,24,0
43,1,10,0,4,1,25,0
24,2,13,10,4,1,40,0
53,1,10,0,4,0,40,1
26,1,10,4,4,1,40,0
73,2,9,2,4,1,40,0
55,1,9,5,4,1,40,0
25,1,9,0,4,1,40,0
41,1,13,8,4,0,50,1
24,1,13,2,4,1,50,0
63,1,9,3,4,1,6,0
17,1,7,10,4,1,20,0
35,1,10,1,4,1,50,0
51,1,10,8,4,1,40,1
62,0,13,8,4,0,48,0
55,1,9,1,4,1,40,1
43,1,10,8,4,1,40,0
40,0,9,6,4,0,50,0
37,1,13,2,4,1,45,1
39,1,13,1,4,1,40,0
31,1,9,1,4,1,18,0
61,1,14,8,4,0,40,1
26,1,11,0,4,0,55,0
46,2,9,10,4,1,50,0
26,1,13,8,4,0,40,0
48,0,16,8,4,1,50,1
34,1,9,12,4,1,40,0
34,0,9,0,4,0,40,0
59,1,9,6,4,1,40,1
34,1,13,8,4,0,40,0
49,1,13,2,4,0,56,1
18,1,7,0,4,0,20,0
43,1,9,3,4,1,40,0
48,1,7,2,4,1,50,0
28,2,10,2,4,1,70,0
33,1,9,5,4,1,40,0
24,1,10,10,4,0,15,0
21,1,6,4,4,1,40,0
17,1,7,10,4,1,28,0
39,1,10,3,4,1,50,1
29,2,13,8,4,1,40,0
44,1,13,2,4,1,40,1
24,1,10,12,4,1,50,0
71,2,14,10,4,1,40,1
51,2,13,10,1,1,40,1
55,1,3,6,2,1,25,0
41,1,13,2,4,1,60,1
23,1,9,4,2,0,7,0
38,1,11,0,4,0,40,0
39,1,9,12,4,1,40,1
19,1,9,0,4,0,30,0
49,1,5,5,4,0,40,0
32,1,13,0,4,1,40,1
27,1,9,1,4,1,70,0
38,1,13,10,4,1,50,1
33,1,10,1,4,0,60,0
23,1,13,2,4,1,28,0
33,2,10,1,4,1,60,0
54,2,9,10,2,1,40,0
29,1,11,11,4,0,45,0
35,2,13,2,4,1,40,0
28,1,11,0,1,0,40,0
37,1,13,8,4,1,50,1
42,2,15,3,4,1,65,1
40,1,14,8,4,1,40,0
47,1,10,10,4,1,55,0
22,1,13,2,4,0,50,0
30,1,13,2,4,1,45,1
28,1,9,11,4,1,40,0
63,0,4,6,4,1,55,0
51,2,5,1,4,1,20,0
22,1,9,4,4,0,40,0
35,1,9,10,4,1,45,0
46,1,9,5,4,0,38,0
37,1,10,5,4,1,52,0
24,1,13,8,2,1,15,0
37,2,9,4,4,1,10,0
53,1,10,11,4,1,40,0
27,1,9,10,4,1,30,0
38,1,10,1,4,1,44,0
53,2,6,3,4,1,60,0
34,1,10,1,4,1,40,0
23,1,9,10,2,1,40,0
39,1,13,2,4,1,45,1
43,1,14,8,1,0,50,0
67,2,9,2,1,1,40,1
81,2,9,2,4,1,30,0
21,1,10,6,4,1,20,0
23,1,10,10,4,1,25,0
25,1,10,12,4,1,40,0
42,1,3,5,4,0,38,0
38,1,10,0,2,0,40,0
32,1,9,5,4,1,40,0
37,1,9,5,4,1,40,0
51,1,14,2,4,1,60,1
22,1,10,10,4,0,42,0
33,1,2,7,4,0,40,0
