,age,employment-type,education-num,occupation,race,sex,weekly-hours,compensation
528,52,2,12,8,4,1,60,1
529,20,1,8,4,0,1,48,0
530,43,2,13,2,4,1,45,0
531,45,1,3,6,4,0,40,0
532,29,2,8,1,4,1,35,0
533,47,1,13,2,4,1,42,0
534,24,1,8,1,4,1,40,0
535,51,1,8,8,4,1,40,0
536,17,1,6,10,4,1,12,0
537,37,1,10,1,4,1,40,1
538,27,1,15,8,4,0,70,0
539,29,1,12,2,4,1,40,1
540,36,2,11,10,4,0,35,0
541,58,0,12,8,4,0,40,0
542,26,2,9,1,4,1,45,0
543,57,1,8,10,4,1,40,1
544,59,1,8,1,4,1,40,0
545,27,1,8,5,4,1,40,0
546,31,2,12,11,4,1,40,0
547,21,1,9,10,4,0,24,0
548,29,1,9,0,4,1,60,0
549,18,1,6,6,4,1,40,0
550,52,1,5,1,4,1,47,1
551,57,2,12,8,4,1,80,0
552,60,1,3,12,4,1,48,1
553,31,1,12,8,4,1,40,1
554,23,1,12,0,4,0,40,0
555,27,1,8,10,4,1,40,0
556,42,2,14,8,4,1,50,1
557,25,1,9,11,4,1,40,0
558,49,1,12,8,4,0,45,0
559,32,1,12,11,4,1,40,0
560,19,1,9,0,4,1,28,0
561,60,1,3,6,4,0,40,0
562,42,0,4,6,4,1,40,0
563,35,2,11,3,4,1,40,0
564,48,1,8,0,2,0,37,0
565,51,1,13,1,4,1,40,1
566,29,1,8,1,0,1,40,0
567,36,0,8,2,2,1,40,0
568,17,1,5,6,4,0,21,0
569,52,1,13,8,4,0,60,0
570,24,1,8,1,4,1,40,0
571,24,1,8,4,4,1,50,0
572,26,0,12,8,4,1,40,0
573,27,1,12,6,4,0,20,0
574,39,1,8,4,4,1,60,0
575,30,1,8,12,2,1,45,0
576,50,2,8,2,4,1,32,0
577,52,2,12,10,4,1,55,0
578,46,1,14,8,4,1,45,1
579,23,1,12,10,4,0,20,0
580,45,1,6,6,2,0,20,0
581,65,1,4,7,2,0,24,0
582,29,1,10,12,4,1,55,0
583,47,1,4,4,4,1,40,0
584,30,1,8,3,2,1,60,0
585,34,1,8,10,4,1,45,1
586,38,2,8,10,4,1,64,0
587,33,1,9,2,4,1,40,1
588,49,1,12,10,4,1,26,1
589,47,2,9,6,2,0,40,0
590,49,0,5,6,2,0,40,0
591,43,1,9,1,4,1,60,1
592,30,1,12,0,2,0,40,1
593,58,2,8,1,4,1,60,0
594,19,1,8,6,4,0,14,0
595,21,1,12,4,4,1,40,0
596,33,1,12,2,4,1,60,1
597,47,2,2,12,4,1,50,0
598,52,2,15,8,4,1,60,1
599,26,1,8,1,4,1,55,0
600,60,1,8,1,4,1,40,0
601,21,1,9,4,4,1,40,0
602,36,1,9,10,4,1,50,1
603,31,1,9,1,4,1,45,0
604,50,2,15,8,4,1,40,1
605,31,0,8,0,4,0,40,0
606,71,1,8,1,4,1,15,0
607,30,0,12,11,4,1,40,1
608,20,1,9,6,4,1,20,0
609,24,1,8,2,4,1,50,0
610,35,1,15,8,1,1,40,1
611,38,0,9,2,4,0,45,0
612,27,1,8,5,4,0,32,0
613,29,0,9,0,1,0,40,0
614,34,1,8,1,4,1,45,0
615,44,1,3,1,4,1,35,0
616,43,1,8,5,4,1,40,1
617,44,2,7,4,2,1,40,1
618,35,1,13,10,4,1,60,0
619,27,1,9,8,4,1,40,0
620,43,0,13,8,4,1,38,0
621,20,1,9,10,4,0,25,0
622,42,1,11,8,4,0,40,1
623,27,0,9,12,4,1,40,0
624,42,1,8,1,2,1,40,1
625,24,1,4,5,4,1,40,0
626,48,0,9,2,4,1,40,0
627,17,2,6,3,4,1,10,0
628,33,1,12,2,4,1,40,1
629,50,2,8,10,4,1,50,1
630,22,1,8,10,4,0,40,0
631,17,1,7,6,4,1,16,0
632,32,1,9,0,4,1,40,0
633,31,1,8,1,4,1,45,0
634,58,2,8,2,4,1,50,0
635,29,0,8,9,4,1,48,0
636,37,1,10,1,4,1,40,1
637,34,2,8,1,4,1,40,1
638,23,0,9,2,2,1,40,0
639,18,0,6,0,4,0,5,0
640,34,1,8,2,4,0,40,0
641,45,0,12,8,4,0,55,0
642,41,1,13,2,4,1,35,0
643,26,1,8,6,4,1,30,0
644,54,0,9,3,4,1,40,0
645,24,1,9,5,2,0,45,0
646,42,1,9,8,4,1,50,0
647,20,1,9,8,4,1,20,0
648,23,0,12,11,4,0,20,0
649,35,1,13,8,4,1,60,1
650,31,1,13,11,4,1,40,1
651,30,1,12,8,4,0,40,0
652,19,1,8,10,4,0,20,0
653,36,0,12,8,4,1,50,0
654,31,1,12,10,4,0,40,0
655,21,1,9,4,4,1,30,0
656,31,2,9,1,4,1,40,0
657,46,1,15,8,4,0,65,1
658,44,1,12,2,4,0,50,1
659,40,1,7,6,2,1,40,0
660,45,1,9,10,2,1,40,0
661,60,1,8,1,4,1,35,0
662,18,1,6,6,4,1,25,0
663,28,1,12,8,4,1,40,0
664,36,1,9,0,2,0,40,0
665,36,1,12,8,4,1,40,0
666,40,1,10,11,4,1,40,0
667,36,0,12,0,4,0,35,0
668,31,1,8,6,2,0,40,0
669,33,1,8,5,4,1,40,0
670,19,0,8,11,4,0,40,0
671,22,1,9,10,4,0,15,0
672,34,1,12,2,4,1,45,1
673,33,1,8,6,4,1,40,0
674,41,1,8,1,4,1,60,0
675,29,1,12,8,4,1,40,0
676,50,0,8,2,4,1,42,1
677,42,1,12,2,4,1,45,1
678,43,1,12,8,4,1,40,1
679,44,1,8,10,4,0,40,0
680,20,1,9,6,4,0,20,0
681,31,1,8,6,4,1,40,0
682,65,2,6,2,4,1,59,1
683,23,1,9,6,4,0,24,0
684,55,1,9,0,1,0,40,0
685,26,1,10,0,4,1,45,0
686,25,1,10,6,4,0,15,0
687,35,1,9,1,4,1,40,0
688,36,1,9,10,2,0,36,0
689,43,0,12,8,4,1,50,0
690,56,1,8,6,2,0,20,0
691,42,1,12,11,4,1,40,1
692,19,1,9,6,4,0,25,0
693,55,2,8,12,4,1,72,0
694,42,1,13,2,4,0,50,1
695,26,1,10,11,4,1,40,0
696,17,1,7,4,4,1,20,0
697,42,0,12,8,4,0,40,1
698,55,1,8,12,4,1,40,1
699,32,1,9,0,2,0,40,0
700,29,1,6,1,2,1,40,0
701,46,0,12,8,4,1,37,0
702,29,0,12,2,4,1,40,1
703,22,1,12,8,4,1,20,0
704,58,2,5,1,4,1,40,0
705,23,1,8,12,4,1,50,0
706,39,1,8,4,4,1,40,0
707,27,1,10,1,4,1,38,0
708,54,1,8,12,4,1,40,1
709,33,0,12,8,4,0,45,0
710,46,0,8,0,4,0,40,1
711,37,1,8,3,2,1,40,0
712,36,1,8,6,4,0,18,0
713,59,0,8,0,4,0,38,1
714,34,0,8,9,4,1,40,0
715,53,2,15,2,4,1,70,1
716,51,1,12,10,4,1,55,1
717,32,1,5,6,4,0,42,0
718,31,0,9,6,4,1,40,0
719,22,1,9,10,4,0,30,0
720,47,2,12,10,4,0,50,0
721,32,1,8,5,4,1,40,0
722,26,1,9,3,4,0,38,0
723,37,1,2,3,4,1,32,0
724,31,1,8,1,4,1,55,0
725,37,1,10,11,4,0,24,1
726,55,1,8,10,4,1,38,0
727,23,0,10,11,4,1,56,0
728,36,1,9,0,4,0,40,0
729,34,1,13,8,4,1,40,0
730,43,1,12,10,4,1,50,1
731,54,1,9,11,4,1,40,0
732,43,0,9,1,4,1,40,0
733,28,1,10,5,4,0,42,0
734,40,1,10,2,4,1,50,1
735,41,2,9,2,4,1,60,0
736,40,1,12,10,3,0,55,1
737,42,1,9,0,2,0,38,0
738,61,2,8,3,4,1,50,0
739,18,1,7,5,4,1,30,0
740,48,1,10,11,4,1,50,1
741,41,2,12,11,4,1,40,0
742,23,1,8,10,4,0,40,0
743,60,1,8,12,4,1,60,1
744,22,1,9,6,2,1,20,0
745,61,1,8,5,4,1,40,0
746,25,1,8,5,2,1,40,0
747,46,1,13,11,4,1,35,1
748,43,1,12,2,4,1,40,1
749,43,1,11,1,4,1,40,0
750,24,1,8,6,2,1,30,0
751,68,2,6,3,4,1,20,0
752,31,1,8,0,4,0,38,0
753,17,1,6,10,4,0,20,0
754,32,1,8,1,4,1,48,1
755,33,1,12,8,4,1,47,1
756,64,1,12,8,4,1,40,1
757,20,1,8,12,4,1,30,0
758,30,1,8,6,4,0,36,0
759,43,1,9,2,4,1,45,0
760,22,1,9,0,4,1,40,0
761,17,1,5,3,4,1,20,0
762,47,2,8,6,4,0,75,0
763,41,1,10,8,4,0,60,0
764,56,1,9,1,4,1,50,1
765,64,1,8,12,4,1,45,0
766,47,1,8,12,4,1,50,1
767,48,1,10,0,4,1,40,0
768,31,1,13,8,4,0,46,0
769,29,1,10,11,4,1,40,0
770,30,1,8,0,4,0,40,0
771,32,1,8,2,4,1,60,0
772,57,1,8,12,4,1,42,1
773,62,1,8,6,4,0,40,0
